constructorId,constructorUrl,constructorName,constructorNationality
alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
