session_id,grand_prix_id,session_type,session_name,session_date
1,1,Q,Qualifying,2021-03-27 15:00:00
2,1,R,Race,2021-03-28 15:00:00
3,2,Q,Qualifying,2021-04-17 12:00:00
4,2,R,Race,2021-04-18 13:00:00
5,3,Q,Qualifying,2021-05-01 14:00:00
6,3,R,Race,2021-05-02 14:00:00
7,4,Q,Qualifying,2021-05-08 13:00:00
8,4,R,Race,2021-05-09 13:00:00
9,5,Q,Qualifying,2021-05-22 13:00:00
10,5,R,Race,2021-05-23 13:00:00
11,6,Q,Qualifying,2021-06-05 12:00:00
12,6,R,Race,2021-06-06 12:00:00
13,7,Q,Qualifying,2021-06-19 13:00:00
14,7,R,Race,2021-06-20 13:00:00
15,8,Q,Qualifying,2021-06-26 13:00:00
16,8,R,Race,2021-06-27 13:00:00
17,9,Q,Qualifying,2021-07-03 13:00:00
18,9,R,Race,2021-07-04 13:00:00
19,10,Q,Qualifying,2021-07-16 17:00:00
20,10,R,Race,2021-07-18 14:00:00
21,11,Q,Qualifying,2021-07-31 13:00:00
22,11,R,Race,2021-08-01 13:00:00
23,12,Q,Qualifying,2021-08-28 13:00:00
24,12,R,Race,2021-08-29 13:00:00
25,13,Q,Qualifying,2021-09-04 13:00:00
26,13,R,Race,2021-09-05 13:00:00
27,14,Q,Qualifying,2021-09-10 16:00:00
28,14,R,Race,2021-09-12 13:00:00
29,15,Q,Qualifying,2021-09-25 12:00:00
30,15,R,Race,2021-09-26 12:00:00
31,16,Q,Qualifying,2021-10-09 12:00:00
32,16,R,Race,2021-10-10 12:00:00
33,17,Q,Qualifying,2021-10-23 21:00:00
34,17,R,Race,2021-10-24 19:00:00
35,18,Q,Qualifying,2021-11-06 20:00:00
36,18,R,Race,2021-11-07 19:00:00
37,19,Q,Qualifying,2021-11-12 19:00:00
38,19,R,Race,2021-11-14 17:00:00
39,20,Q,Qualifying,2021-11-20 14:00:00
40,20,R,Race,2021-11-21 14:00:00
41,21,Q,Qualifying,2021-12-04 17:00:00
42,21,R,Race,2021-12-05 17:30:00
43,22,Q,Qualifying,2021-12-11 13:00:00
44,22,R,Race,2021-12-12 13:00:00
45,23,Q,Qualifying,2022-03-19 15:00:00
46,23,R,Race,2022-03-20 15:00:00
47,24,Q,Qualifying,2022-03-26 17:00:00
48,24,R,Race,2022-03-27 17:00:00
49,25,Q,Qualifying,2022-04-09 06:00:00
50,25,R,Race,2022-04-10 05:00:00
51,26,Q,Qualifying,2022-04-22 15:00:00
52,26,R,Race,2022-04-24 13:00:00
53,27,Q,Qualifying,2022-05-07 20:00:00
54,27,R,Race,2022-05-08 19:30:00
55,28,Q,Qualifying,2022-05-21 14:00:00
56,28,R,Race,2022-05-22 13:00:00
57,29,Q,Qualifying,2022-05-28 14:00:00
58,29,R,Race,2022-05-29 13:00:00
59,30,Q,Qualifying,2022-06-11 14:00:00
60,30,R,Race,2022-06-12 11:00:00
61,31,Q,Qualifying,2022-06-18 20:00:00
62,31,R,Race,2022-06-19 18:00:00
63,32,Q,Qualifying,2022-07-02 14:00:00
64,32,R,Race,2022-07-03 14:00:00
65,33,Q,Qualifying,2022-07-08 15:00:00
66,33,R,Race,2022-07-10 13:00:00
67,34,Q,Qualifying,2022-07-23 14:00:00
68,34,R,Race,2022-07-24 13:00:00
69,35,Q,Qualifying,2022-07-30 14:00:00
70,35,R,Race,2022-07-31 13:00:00
71,36,Q,Qualifying,2022-08-27 14:00:00
72,36,R,Race,2022-08-28 13:00:00
73,37,Q,Qualifying,2022-09-03 13:00:00
74,37,R,Race,2022-09-04 13:00:00
75,38,Q,Qualifying,2022-09-10 14:00:00
76,38,R,Race,2022-09-11 13:00:00
77,39,Q,Qualifying,2022-10-01 13:00:00
78,39,R,Race,2022-10-02 12:00:00
79,40,Q,Qualifying,2022-10-08 06:00:00
80,40,R,Race,2022-10-09 05:00:00
81,41,Q,Qualifying,2022-10-22 22:00:00
82,41,R,Race,2022-10-23 19:00:00
83,42,Q,Qualifying,2022-10-29 21:00:00
84,42,R,Race,2022-10-30 20:00:00
85,43,Q,Qualifying,2022-11-11 19:00:00
86,43,R,Race,2022-11-13 18:00:00
87,44,Q,Qualifying,2022-11-19 14:00:00
88,44,R,Race,2022-11-20 13:00:00
